,th=0.01,th=0.03,th=0.05,th=0.07
total_return,6.38370418557439,6.38370418557439,5.584938077410229,4.622659230425463
cagr,0.9029807777434007,0.9029807777434008,0.7925715217125928,0.6586086481016773
sharpe_ratio,-1.9964152023176531,-1.996415202317653,-2.4851715989015593,-2.987988149936575
sortino_ratio,-3.839727801403146,-3.839727801403146,-5.4848878187352,-6.5553513829874905
max_drawdown,-1.1389661096190389,-1.1389661096190389,-0.8198395041715064,-0.8794214958027813
calmar_ratio,0.7928074155300631,0.7928074155300631,0.9667398529588186,0.7489112459099778
win_rate,65.11627906976744,65.11627906976744,70.0,83.33333333333334
profit_factor,2.7088701901527483,2.7088701901527483,3.8862198550302502,6.566994428850589
total_trades,43.0,43.0,30.0,18.0
avg_holding_days,10.418604651162791,10.418604651162791,10.7,11.833333333333334
