,conf_sizing_OFF,conf_sizing_ON,delta
total_return,5.151719179322267,3.1801763401432925,-1.9715428391789747
cagr,0.7323910077070783,0.4558084510716931,-0.2765825566353852
sharpe_ratio,-2.528629591770212,-4.697987617881677,-2.169358026111465
sortino_ratio,-4.478604874027015,-9.075543728569473,-4.596938854542458
max_drawdown,-1.1773552766070694,-0.5650556533452222,0.6122996232618472
calmar_ratio,0.6220645732507355,0.8066611640344313,0.18459659078369584
win_rate,65.11627906976744,65.11627906976744,0.0
profit_factor,2.44738208911217,2.7600311825547865,0.3126490934426167
total_trades,43.0,43.0,0.0
avg_holding_days,10.418604651162791,10.418604651162791,0.0
