,OFF,ON_down,ON_up,delta_up_vs_off
total_return,5.151719179322267,3.1801763401432925,6.38370418557439,1.2319850062521231
cagr,0.7323910077070783,0.4558084510716931,0.9029807777434007,0.17058977003632236
sharpe_ratio,-2.528629591770212,-4.697987617881677,-1.9964152023176531,0.5322143894525588
sortino_ratio,-4.478604874027015,-9.075543728569471,-3.839727801403146,0.6388770726238691
max_drawdown,-1.1773552766070694,-0.5650556533452222,-1.1389661096190389,0.03838916698803052
calmar_ratio,0.6220645732507355,0.8066611640344313,0.7928074155300631,0.17074284227932757
win_rate,65.11627906976744,65.11627906976744,65.11627906976744,0.0
profit_factor,2.44738208911217,2.7600311825547865,2.7088701901527483,0.2614881010405785
total_trades,43.0,43.0,43.0,0.0
avg_holding_days,10.418604651162791,10.418604651162791,10.418604651162791,0.0
