,factor_only,factor_xgb,factor_xgb_rl,factor_xgb_rl_llm,Δ_factor_only,Δ_factor_xgb,Δ_factor_xgb_rl,Δ_factor_xgb_rl_llm
total_return,-50.74340539286353,-52.87317101886373,2.3841046718091174,5.454101548772239,0.0,-2.1297656260002,53.12751006467265,56.197506941635766
sharpe_ratio,-1.4190946941137341,-1.6214971574274197,-1.3331181490387076,-1.1059154365412818,0.0,-0.2024024633136856,0.0859765450750265,0.31317925757245235
sortino_ratio,-1.7874973196814048,-2.115882621384451,-2.39135575374539,-1.9776596575283243,0.0,-0.32838530170304625,-0.6038584340639852,-0.1901623378469195
max_drawdown,-50.80309365834725,-54.03825719986101,-6.69794646055287,-4.759303477263612,0.0,-3.2351635415137565,44.10514719779438,46.04379018108364
calmar_ratio,-0.19241306646441325,-0.19157980751384346,0.05118702571571393,0.1627168083710899,0.0,0.0008332589505697929,0.24360009218012718,0.3551298748355032
win_rate,26.87116564417178,43.56751824817518,39.86013986013986,40.74074074074074,0.0,16.696352604003405,12.988974215968081,13.869575096568962
profit_factor,0.5126546273205919,0.7129573643317361,1.039794265101045,1.1446453687878546,0.0,0.2003027370111442,0.5271396377804531,0.6319907414672628
total_trades,815.0,2192.0,143.0,135.0,0.0,1377.0,-672.0,-680.0
avg_holding_days,31.30920245398773,6.393248175182482,10.272727272727273,11.881481481481481,0.0,-24.91595427880525,-21.036475181260457,-19.42772097250625
